"CustomerID","FirstName","LastName","Email","Phone","Address","City","State","Zipcode"
122,"Jean","Palmer","jpalmerm@delicious.com","(402)166-3811","5 Dwight Point","Lincoln","NE","68505"
123,"Shawn","Peters","spetersn@auda.org.au","(754)644-1728","7 Monument Street","Fort Lauderdale","FL","33320"
124,"Pamela","Welch","pwelcho@wordpress.com","(303)685-7506","2814 Longview Place","Englewood","CO","80150"
125,"Kathy","Alexander","kalexanderp@ebay.co.uk","(713)885-7289","49374 Meadow Vale Place","Houston","TX","77250"
126,"James","Howard","jhowardq@dedecms.com","","4 Derek Junction","Johnstown","PA","15906"
127,"Steven","Hawkins","shawkinsr@geocities.com","(386)399-7311","4858 Vera Hill","Daytona Beach","FL","32128"
128,"Randy","Gibson","rgibsons@jiathis.com","(202)482-9082","74 Bobwhite Parkway","Washington","DC","20404"
129,"Arthur","Williams","awilliamst@cdc.gov","(210)398-3890","84368 Cascade Trail","San Antonio","TX","78215"
130,"Justin","Gray","jgrayu@bravesites.com","(316)348-7229","8 Drewry Way","Wichita","KS","67260"
131,"Juan","Patterson","jpattersonv@google.ca","(239)586-8646","33542 Goodland Hill","Naples","FL","34108"
132,"Tina","Perez","tperezw@goo.gl","(202)681-7649","718 Grayhawk Circle","Washington","DC","20073"
133,"Earl","Carter","ecarterx@foxnews.com","(585)898-4271","116 Lake View Way","Rochester","NY","14624"
134,"Kelly","Taylor","ktaylory@who.int","(612)375-7927","13745 Oakridge Avenue","Saint Paul","MN","55108"
135,"Doris","Watkins","dwatkinsz@odnoklassniki.ru","(615)146-9069","23865 Sutteridge Avenue","Nashville","TN","37215"
136,"Rebecca","Graham","rgraham10@elegantthemes.com","(803)551-8204","34900 Troy Court","Columbia","SC","29203"
137,"Pamela","Myers","pmyers11@drupal.org","(904)437-0721","7 Becker Trail","Jacksonville","FL","32225"
138,"Lawrence","Hicks","lhicks12@friendfeed.com","(407)715-6328","90133 Eggendart Road","Orlando","FL","32808"
139,"Brian","Mccoy","bmccoy13@github.com","(605)640-2099","16 Ohio Pass","Sioux Falls","SD","57198"
140,"Diane","Perez","dperez14@illinois.edu","(801)689-1009","850 Warbler Avenue","Salt Lake City","UT","84130"
141,"Elizabeth","Jordan","ejordan15@icq.com","(203)229-6571","3 Ridgeview Crossing","Stamford","CT","6912"
142,"Patrick","Young","pyoung16@blogs.com","(334)677-3271","4 Judy Avenue","Montgomery","AL","36195"
143,"Wayne","Bradley","wbradley17@answers.com","(843)376-4157","853 Darwin Lane","Florence","SC","29505"
144,"Anne","Hicks","ahicks18@dion.ne.jp","(518)284-3424","57406 Graceland Place","Albany","NY","12247"
145,"Steven","Gardner","sgardner19@foxnews.com","(804)195-7390","7344 Clemons Circle","Richmond","VA","23208"
146,"Donald","Jackson","djackson1a@hp.com","(203)197-6690","2 Browning Plaza","Waterbury","CT","6721"
147,"Michael","Marshall","mmarshall1b@buzzfeed.com","(316)177-7839","9774 Glacier Hill Circle","Wichita","KS","67215"
148,"Wayne","Stanley","wstanley1c@washingtonpost.com","(216)106-9059","3654 Namekagon Center","Cleveland","OH","44177"
149,"Emily","Watkins","ewatkins1d@bandcamp.com","(573)848-0093","1217 West Center","Columbia","MO","65218"
